,Model,accuracy,classes_order,confusion,execution_time,f1,precision,recall,test_time,train_size
0,SVM W2V,0.27015186915887857,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[306.   31.6  22.8  22.4  40.   61.   29.4]
 [ 49.4 179.2 126.4  86.2 106.8 117.  101.6]
 [ 37.2  62.2 119.4  47.2  58.2  74.4  29.6]
 [ 12.   20.6  24.4  27.8  29.   39.4   7.6]
 [ 89.6 163.4 115.  109.  171.4 177.6 111.4]
 [ 45.6  58.6  67.2  39.6  50.4  76.4  34.8]
 [ 77.6  22.2  22.2  19.2  27.6  31.6  44.8]]",0.009362411499023438,0.22479185050676992,0.25195751910752656,0.3025650758201168,0.13684892654418945,40
1,SVM W2V,0.33936170212765965,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[408.8  46.8  39.2  30.6  58.6  68.2  41.4]
 [ 25.2 178.2  76.4  75.6  89.2  88.8  82.6]
 [ 36.8  64.6 188.4  49.6  68.6  85.4  41.6]
 [ 10.8  26.2  10.6  34.   26.2  32.4  13. ]
 [ 51.6 121.4  90.4  72.8 129.8 102.   78.6]
 [ 42.   56.4  61.   52.8  69.  148.2  35.8]
 [ 33.2  38.8  25.8  32.4  37.   46.2  61. ]]",0.024977731704711913,0.28487370116766153,0.3138370690468484,0.3267536191832623,0.12259697914123535,80
2,SVM W2V,0.3927631578947368,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[437.   48.8  28.4  32.8  65.   70.6  44.6]
 [ 26.  242.4  80.4  96.8 116.2 101.   82.2]
 [ 28.2  74.4 255.   49.6  74.6  79.4  57.2]
 [  8.   20.   13.   29.2  26.6  19.4  11.8]
 [ 21.2  54.2  40.6  41.4  69.4  49.6  43.2]
 [ 59.6  60.   47.6  69.   88.6 208.4  39.6]
 [ 21.2  24.8  20.8  25.   33.6  35.6  72. ]]",0.035996866226196286,0.33813017040497195,0.3605307802762045,0.37052634497554443,0.12299976348876954,120
3,SVM W2V,0.40744552058111383,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[449.2  49.8  25.8  31.4  59.   74.   39.6]
 [ 28.  242.4  75.4  91.  116.6  99.2  77. ]
 [ 22.   78.4 261.4  50.2  81.4  79.6  58. ]
 [ 10.8  23.4  13.   37.8  30.2  22.8  15.8]
 [ 23.4  49.8  40.4  41.4  75.   53.   40.8]
 [ 47.4  54.2  42.4  61.4  80.4 200.6  35.6]
 [ 12.4  19.4  21.4  26.8  25.6  29.6  79.8]]",0.04692850112915039,0.35892800175973694,0.37635624033135373,0.3803000698778508,0.12496871948242187,160
4,SVM W2V,0.43014705882352944,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[457.8  46.2  19.   31.6  57.   73.2  36.4]
 [ 24.  238.2  58.4  78.6 101.6  75.4  62.2]
 [ 21.2  76.2 270.   51.6  81.   75.8  55.8]
 [  8.4  19.2  11.4  36.4  34.6  24.2  14.6]
 [ 22.   53.8  42.   47.   76.6  41.   43. ]
 [ 41.6  57.2  53.8  65.2  85.6 232.8  37.6]
 [ 11.   20.8  20.2  25.4  26.   29.2  92.2]]",0.060961008071899414,0.382171435284684,0.3977971972096488,0.3956030908076152,0.11246800422668457,200
5,SVM W2V,0.43343672456575677,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[452.4  43.2  17.8  29.6  58.4  70.6  34.2]
 [ 23.2 241.6  56.   76.2 104.6  69.   65. ]
 [ 23.4  82.8 277.4  55.2  86.4  82.6  63.6]
 [  9.4  21.2  10.6  41.   28.   22.4  13.4]
 [ 18.8  41.2  36.2  41.   65.8  44.   37.4]
 [ 44.2  56.2  51.4  67.4  92.2 232.4  37.4]
 [  9.8  18.4  17.   21.   22.6  23.6  86.8]]",0.07356681823730468,0.3843364826028074,0.4009205474359203,0.4058021404650855,0.112479829788208,240
6,SVM W2V,0.4354899497487438,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[443.6  40.6  17.8  29.8  54.8  67.2  33.6]
 [ 27.6 241.   53.8  69.2  96.8  69.   68. ]
 [ 20.4  80.6 273.2  55.   81.   73.8  64.6]
 [  8.2  20.2  11.6  44.2  26.6  22.6  15.2]
 [ 19.6  50.   40.4  45.4  78.8  55.4  39.2]
 [ 46.   50.8  49.4  63.6  93.8 228.8  36.4]
 [  9.   16.   14.   19.4  19.   22.   77. ]]",0.0884511947631836,0.3870831640863388,0.4026915021112812,0.41266211612409676,0.12068309783935546,280
7,SVM W2V,0.44541984732824424,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[450.   43.8  18.8  27.6  54.8  63.8  29.4]
 [ 23.2 232.4  48.   66.8  93.2  61.6  65.8]
 [ 18.4  77.6 276.8  53.2  80.6  78.2  60.4]
 [  6.   20.   10.4  45.4  28.2  20.   13.6]
 [ 21.   50.2  35.4  44.4  72.6  49.2  37.8]
 [ 38.2  49.   46.2  61.8  89.8 232.4  30.6]
 [ 10.2  20.2  18.4  23.2  26.4  28.2  90.8]]",0.09685678482055664,0.3980010977796756,0.4135056550595544,0.4178844664461915,0.10925908088684082,320
8,SVM W2V,0.4543170103092784,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[445.4  44.4  17.6  25.4  51.6  54.6  25.6]
 [ 21.4 221.8  43.4  62.6  85.4  51.2  54. ]
 [ 17.   77.2 276.   53.   80.   73.2  58.6]
 [  6.   17.8   9.6  37.4  20.6  17.   10.8]
 [ 19.8  49.6  32.   46.   78.   50.4  40.8]
 [ 43.2  56.2  52.8  71.8  97.2 252.8  35.2]
 [  8.2  21.   17.8  22.6  25.4  25.8  98.8]]",0.10935406684875489,0.4065747833682443,0.42121919249841266,0.4282607312095982,0.11296725273132324,360
9,SVM W2V,0.4598563968668407,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[442.   40.2  15.8  24.6  49.   52.6  24.4]
 [ 20.6 218.   39.2  60.4  79.2  53.4  53. ]
 [ 15.8  73.2 275.6  49.8  78.4  66.6  54. ]
 [  9.   18.2   7.4  36.8  23.6  16.   11.8]
 [ 18.   50.2  31.   46.6  74.4  45.2  35.8]
 [ 38.6  59.   54.2  70.4  98.  255.6  32.6]
 [  8.8  24.   21.2  26.   30.4  28.8 106.6]]",0.11871013641357422,0.41220374105367263,0.42733766480890367,0.42676121629011643,0.11355109214782715,400
10,SVM W2V,0.46421957671957675,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[436.6  38.4  14.4  23.2  45.   48.2  23.8]
 [ 20.2 221.8  40.4  61.   79.   52.6  50.6]
 [ 15.8  73.6 274.2  49.6  81.4  65.   52.6]
 [  7.   16.4   7.8  33.6  19.4  15.8  12.4]
 [ 19.   43.   26.8  45.4  70.6  42.   32.8]
 [ 40.6  58.8  54.8  72.6 103.6 258.8  33.8]
 [  8.8  24.6  19.8  24.   28.   28.2 108.2]]",0.12809243202209472,0.41445817985906785,0.4309118737237795,0.4314827675210414,0.11609830856323242,440
11,SVM W2V,0.47104557640750666,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[436.8  38.6  15.4  23.   42.4  44.2  21. ]
 [ 20.4 227.2  41.6  64.   82.8  55.6  49.4]
 [ 13.6  68.  270.8  48.6  75.2  63.   51.2]
 [  5.6  15.2   6.8  30.   20.   15.6  10. ]
 [ 15.4  35.   25.8  46.   67.8  39.   28.2]
 [ 39.2  58.2  50.6  68.4 101.6 258.2  34.4]
 [  9.2  26.6  21.8  26.6  31.8  29.4 114.8]]",0.1499706745147705,0.41923670578923594,0.4377744622113601,0.4329841719105173,0.11228404045104981,480
12,SVM W2V,0.47608695652173916,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[432.   35.6  14.6  22.   41.   41.4  19.8]
 [ 17.4 221.   40.4  56.4  74.4  52.4  46.4]
 [ 13.6  67.  269.   48.2  74.   64.6  47.6]
 [  5.4  15.2   7.2  31.8  22.2  15.   10.2]
 [ 15.   35.   23.8  44.6  67.8  33.8  25.4]
 [ 42.4  63.6  50.2  72.6 104.8 262.6  37.2]
 [  8.4  26.8  22.   26.2  31.8  26.8 117.4]]",0.15308456420898436,0.42552729071525264,0.4432530149609167,0.4405565856886047,0.11679663658142089,520
13,SVM W2V,0.47940771349862266,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[428.2  33.2  12.6  21.2  40.6  39.8  18.8]
 [ 16.8 221.8  40.   57.2  74.   51.2  47. ]
 [ 14.2  67.6 266.2  49.6  73.8  65.2  48.2]
 [  5.8  15.4   6.6  33.6  22.   14.   10.6]
 [ 13.8  33.   22.8  38.4  66.   32.8  24.8]
 [ 40.2  60.4  50.6  70.8 103.4 261.2  35.4]
 [  8.4  27.   22.   26.6  31.   25.  115.2]]",0.16869888305664063,0.4287238531967147,0.44638904099714055,0.4444930181498753,0.10702400207519532,560
14,SVM W2V,0.47807262569832404,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[424.8  33.4  14.   22.2  42.6  41.2  19.4]
 [ 18.6 220.   40.2  61.8  79.6  51.6  48.2]
 [ 13.4  68.  261.6  47.4  72.2  63.2  47.2]
 [  5.2  14.    6.8  31.8  21.2  13.8   9.4]
 [ 13.   31.6  22.4  37.   60.6  31.4  25.2]
 [ 36.4  60.4  47.8  68.  102.  257.4  32.8]
 [  8.   25.4  22.4  25.2  27.2  24.  113. ]]",0.1843198776245117,0.426179796945186,0.44459191711108614,0.44285361417482355,0.10611157417297364,600
15,SVM W2V,0.4827195467422096,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[420.4  32.6  14.2  21.2  39.8  38.8  18. ]
 [ 17.  217.2  38.2  59.6  75.4  48.8  43.2]
 [ 14.4  66.2 259.4  47.8  70.4  60.2  46.4]
 [  4.4  14.4   6.2  32.2  22.2  15.4  10.2]
 [ 12.2  31.2  22.   35.4  58.4  28.6  23.8]
 [ 36.6  57.8  47.4  68.6 106.  260.2  32.8]
 [  8.6  27.6  22.   24.4  26.8  24.  115.4]]",0.19431672096252442,0.4306285146516739,0.44933146980675315,0.4455637349283528,0.10281119346618653,640
16,SVM W2V,0.4849137931034483,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[418.   32.2  14.4  22.2  39.2  39.   18.6]
 [ 16.4 218.   37.2  59.8  76.8  47.6  45.6]
 [ 14.2  63.8 257.6  46.   69.6  58.   43. ]
 [  4.2  13.2   6.6  30.6  24.   14.2  10.4]
 [ 10.4  29.6  20.4  33.4  52.4  28.8  21.8]
 [ 35.8  57.8  46.8  69.6 105.4 259.8  33.8]
 [  7.   25.6  20.8  23.2  25.2  22.4 113.6]]",0.2097255229949951,0.430830620303776,0.4504050699010752,0.44418544522115033,0.09998607635498047,680
17,SVM W2V,0.48760932944606417,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[411.4  30.8  14.   21.8  39.   34.6  17.8]
 [ 16.4 214.8  35.6  56.8  73.6  45.2  43.2]
 [ 13.4  64.8 254.6  47.   69.6  58.2  42.2]
 [  3.6  13.4   5.8  29.8  21.8  12.8   9.4]
 [  8.8  28.2  18.6  31.6  52.4  25.8  24. ]
 [ 37.   58.8  47.4  71.  104.  262.2  33.6]
 [  7.   25.4  21.6  23.2  26.   23.2 112.8]]",0.22698416709899902,0.43309420021116357,0.452995684035953,0.4485596668665597,0.10621414184570313,720
18,SVM W2V,0.4889792899408284,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[408.2  32.4  13.8  20.8  40.   36.8  17.8]
 [ 16.6 217.8  37.2  60.2  78.2  48.4  45.2]
 [ 14.2  60.  250.2  44.8  66.6  53.2  40.8]
 [  3.2  13.4   6.   30.4  21.4  12.8  10.2]
 [  8.6  23.8  17.2  29.8  46.6  23.8  21. ]
 [ 32.4  55.4  47.   68.8 103.4 256.   31. ]
 [  6.   24.8  22.   22.6  25.2  25.  113. ]]",0.23466954231262208,0.4335507162818827,0.4544016656923883,0.4476303675197427,0.10310015678405762,760
19,SVM W2V,0.485960960960961,"[array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12'), array(['DEFINITION', 'LOCATION', 'MEASURE', 'ORGANIZATION', 'OTHER',
       'PERSON', 'TIME'], dtype='<U12')]","[[400.8  31.2  13.6  20.6  39.4  35.6  17. ]
 [ 17.2 216.8  38.4  60.4  80.4  50.2  46.6]
 [ 14.2  57.8 246.   45.2  66.2  54.6  41. ]
 [  4.   12.6   5.4  28.   22.2  11.6   9. ]
 [  6.6  20.4  17.   28.6  40.4  21.4  19.4]
 [ 32.4  57.6  46.   69.6 104.4 252.4  31.8]
 [  6.6  24.2  21.4  21.6  23.8  22.2 110.2]]",0.25426287651062013,0.4286627332981288,0.45113693753173384,0.44212004886288625,0.09371919631958008,800
